user_id,total_sessions,first_session,last_session,total_trips_booked,total_trips_canceled,total_flights_booked,avg_seats,avg_checked_bags,total_domestic_flights,total_international_flights,net_flight_spend_usd,avg_flight_spend_usd,total_flights_discounted,avg_flight_discount_used,total_hotels_booked,avg_nights,avg_rooms,net_hotel_spend_usd,avg_hotel_spend_usd,total_hotels_discounted,avg_hotel_discount_used,total_staycations,birthdate,gender,is_married,has_children,home_country,home_city,home_airport,sign_up_date,age,lifetime,trips_per_session,cancellation_ratio,pct_flights_per_trip,pct_domestic_flights,pct_international_flights,pct_discounted_flights,pct_hotels_per_trip,pct_discounted_hotels,pct_staycations,ltv_usd,recency_days,lifespan_days,frequency_trips_per_day,monetary_per_day,R_score,F_score,M_score,RFM_segment_label,trips_per_session_cat,pct_flights_per_trip_cat,pct_hotels_per_trip_cat,pct_domestic_flights_cat,pct_international_flights_cat,pct_discounted_flights_cat,pct_discounted_hotels_cat,avg_flight_discount_used_cat,avg_hotel_discount_used_cat,avg_nights_cat,avg_rooms_cat,avg_seats_cat,avg_checked_bags_cat,persona
152583,8,2023-02-01 20:58:00,2023-06-05 21:37:35.000000,1,0,1,1.0,2.0,1,0,367.83,367.83,0,0.15,1,2.0,1.0,426.0,426.0,0,0.15,0,1986-07-26,F,False,False,usa,colorado springs,COS,2022-04-17,37,1,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,793.8299999999999,52,124,0.008064516129032258,6.401854838709677,2,4,4,At Risk,Low,Mid-low,Mid-low,Low,Low,Low,Low,Mid-high,Mid-high,Low,Low,Low,High,Leo – At Risk – Budget short-trip traveler
153982,8,2023-01-09 19:34:00,2023-07-20 20:45:14.000000,3,0,3,1.0,0.3333333333333333,3,0,656.87,218.95666666666668,0,,3,1.3333333333333333,1.0,681.0,227.0,0,0.15,0,1978-08-15,F,False,True,canada,toronto,YKZ,2022-04-19,44,1,0.375,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1337.87,7,192,0.015625,6.968072916666666,5,3,4,Potential,Mid-high,Mid-low,Mid-low,Low,Low,Low,Low,,Mid-high,Low,Low,Low,Mid-low,Riley – Potential – Aspiring globetrotter
160754,8,2023-02-13 21:33:00,2023-06-26 20:00:44.000000,1,0,1,1.0,1.0,1,0,93.62,93.62,0,,1,2.0,1.0,428.0,428.0,0,,0,1977-12-06,F,True,True,usa,new york,LGA,2022-04-26,45,1,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,521.62,32,132,0.007575757575757576,3.9516666666666667,3,4,5,Loyal,Low,Mid-low,Mid-low,Low,Low,Low,Low,,,Low,Low,Low,Mid-high,Taylor – Loyal – Practical frequent flyer
164522,8,2023-01-17 21:39:00,2023-07-14 21:10:16.000000,1,0,1,1.0,1.0,1,0,311.904,311.904,1,0.05,1,13.0,1.0,3029.0,3029.0,0,0.05,0,1975-11-07,F,True,False,usa,kansas city,MCI,2022-04-30,47,1,0.125,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3340.904,13,177,0.005649717514124294,18.87516384180791,5,5,2,Potential,Low,Mid-low,Mid-low,Low,Low,High,Low,Low,Low,High,Low,Low,Mid-high,Riley – Potential – Aspiring globetrotter
167852,8,2023-01-05 04:16:00,2023-04-25 17:14:14.000000,0,0,0,,,0,0,0.0,,0,0.1,0,,,0.0,,0,0.1,0,2006-02-16,F,False,False,usa,tampa,MCF,2022-05-03,17,1,0.0,,,,,,,,,0.0,94,110,0.0,0.0,1,5,5,At Risk,Low,,,,,,,Low,Mid-low,,,,,Susan – At Risk – Seasoned bargain hunter
171470,8,2023-03-09 22:17:14,2023-07-10 04:46:09.000000,2,2,1,1.0,0.0,0,1,-5569.395,2590.425,1,0.1,0,,,0.0,,0,,0,1999-09-14,F,False,False,usa,atlanta,ATL,2022-05-06,23,1,0.25,1.0,0.5,0.0,1.0,1.0,0.0,,0.0,-5569.395,18,122,0.0,-45.650778688524596,4,5,5,Champions,Mid-low,Low,Low,Low,High,High,,Low,,,,Low,Low,Alex – Champion – Young global explorer
174997,8,2023-01-05 20:17:50,2023-07-15 05:27:36.000000,3,1,2,1.0,0.0,2,0,-2045.63,295.215,0,,2,2.0,1.0,448.0,224.0,0,0.125,0,1991-11-01,F,False,False,usa,grand rapids,GRR,2022-05-10,31,1,0.375,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,-1597.63,13,190,0.010526315789473684,-8.408578947368422,5,4,5,Champions,Mid-high,Low,Low,Low,Low,Low,Low,,Mid-high,Low,Low,Low,Low,Alex – Champion – Young global explorer
175032,9,2023-01-20 21:00:00,2023-07-20 21:13:38.000000,3,0,2,2.0,0.5,2,0,1109.25,554.625,0,0.3,3,4.333333333333333,2.0,3243.6,514.9333333333333,1,0.1,0,1994-11-05,F,False,False,usa,houston,IAH,2022-05-10,28,1,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,4352.85,7,181,0.016574585635359115,24.04889502762431,5,3,2,Potential,Mid-high,Low,Mid-low,Low,Low,Low,High,High,Mid-low,Mid-high,High,High,Mid-low,Riley – Potential – Aspiring globetrotter
181157,8,2023-01-11 07:36:00,2023-07-07 10:42:16.000000,3,0,3,2.0,1.0,3,0,959.0255,319.67516666666666,1,0.175,3,3.3333333333333335,2.0,4987.8,514.6,1,0.15,0,1970-08-10,F,True,False,usa,houston,HOU,2022-05-15,53,1,0.375,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,5946.8255,21,177,0.01694915254237288,33.59788418079096,4,3,1,Potential,Mid-high,Mid-low,Mid-low,Low,Low,High,High,Mid-high,Mid-high,Mid-low,High,High,Mid-high,Riley – Potential – Aspiring globetrotter
182191,8,2023-01-05 14:26:34,2023-07-04 16:43:15.000000,1,1,0,,,0,0,-537.67,,0,,0,,,0.0,,0,0.1,0,2004-09-27,F,False,True,usa,phoenix,PHX,2022-05-16,18,1,0.125,1.0,0.0,,,,0.0,,0.0,-537.67,24,180,0.0,-2.987055555555555,4,5,5,Champions,Low,Low,Low,,,,,,Mid-low,,,,,Alex – Champion – Young global explorer
187212,8,2023-01-05 22:12:00,2023-06-09 18:13:58.000000,3,0,3,1.0,0.6666666666666666,3,0,1242.57,414.19,0,0.3999999999999999,3,2.0,1.0,904.0,301.3333333333333,0,0.1,0,1969-02-20,F,True,True,usa,los angeles,LAX,2022-05-21,54,1,0.375,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2146.5699999999997,49,154,0.01948051948051948,13.938766233766232,2,2,3,Lost,Mid-high,Mid-low,Mid-low,Low,Low,Low,Low,High,Mid-low,Low,Low,Low,Mid-high,Chris – Lost – Occasional explorer who drifted away
189676,8,2023-01-20 18:11:00,2023-05-03 19:52:26.000000,2,0,1,3.0,2.0,1,0,1244.31,1244.31,0,0.15,2,9.0,2.0,5001.0,1730.5,0,,0,1988-01-10,F,False,True,usa,fort worth,FTW,2022-05-23,35,1,0.25,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,6245.3099999999995,86,103,0.019417475728155338,60.63407766990291,1,2,1,Lost,Mid-low,Low,Mid-low,Low,Low,Low,Low,Mid-high,,High,High,High,High,Emma – Lost – Former premium planner
190866,8,2023-01-09 20:35:00,2023-07-03 11:05:27.000000,4,0,4,1.0,0.5,4,0,1844.47,461.1175,0,,4,2.25,1.0,1359.0,339.75,0,0.05,0,1986-09-24,F,False,False,usa,tallahassee,TLH,2022-05-24,36,1,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3203.4700000000003,25,174,0.022988505747126436,18.41074712643678,4,2,3,Potential,High,Mid-low,Mid-low,Low,Low,Low,Low,,Low,Mid-low,Low,Low,Mid-low,Riley – Potential – Aspiring globetrotter
195192,8,2023-01-10 21:41:00,2023-05-29 17:05:14.000000,1,0,1,2.0,0.0,1,0,394.29,394.29,0,0.1,1,1.0,2.0,320.0,160.0,0,0.1,0,1995-09-20,F,False,False,usa,chicago,MDW,2022-05-28,27,1,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,714.29,60,138,0.007246376811594203,5.176014492753623,2,5,5,At Risk,Low,Mid-low,Mid-low,Low,Low,Low,Low,Low,Mid-low,Low,High,High,Low,Leo – At Risk – Budget short-trip traveler
204943,7,2023-01-07 07:55:00,2023-07-28 14:51:08.000000,5,1,5,1.6,1.4,5,0,2229.092,543.9364,1,0.15,5,6.2,1.6,3820.0,1453.2,0,,0,1982-12-20,M,False,False,canada,ottawa,YOW,2022-06-06,40,1,0.7142857142857143,0.2,1.0,1.0,0.0,0.2,1.0,0.0,0.0,6049.092000000001,0,202,0.019801980198019802,29.946,5,2,1,Potential,High,Mid-low,Mid-low,Low,Low,Mid-high,Low,Mid-high,,High,High,High,High,Riley – Potential – Aspiring globetrotter
204997,8,2023-01-05 09:11:24,2023-07-10 17:02:02.000000,4,2,3,1.3333333333333333,0.3333333333333333,3,0,-3132.985,283.6383333333333,1,0.25,2,3.0,1.5,-3469.2,216.7,1,0.1,0,1985-08-26,F,True,False,usa,kansas city,MCI,2022-06-06,37,1,0.5,0.5,0.75,1.0,0.0,0.3333333333333333,0.5,0.5,0.0,-6602.1849999999995,18,186,0.010752688172043012,-35.49561827956989,4,4,5,Champions,High,Mid-low,Low,Low,Low,High,High,High,Mid-low,Mid-low,High,Mid-high,Mid-low,Alex – Champion – Young global explorer
205044,9,2023-01-27 11:47:00,2023-06-07 04:06:08.000000,3,0,3,2.0,0.3333333333333333,3,0,2720.6975,906.8991666666667,1,0.05,3,4.666666666666667,2.0,5642.0,907.3333333333334,0,,0,1983-08-25,F,True,True,canada,toronto,YKZ,2022-06-06,39,1,0.3333333333333333,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,8362.6975,51,130,0.023076923076923078,64.32844230769231,2,2,1,Lost,Mid-high,Mid-low,Mid-low,Low,Low,High,Low,Low,,Mid-high,High,High,Mid-low,Emma – Lost – Former premium planner
206011,7,2023-01-10 15:49:00,2023-07-08 14:36:54.000000,3,0,3,1.0,0.0,3,0,610.23,203.41,0,,2,4.0,1.0,1055.0,527.5,0,0.2,0,1984-08-04,F,False,True,usa,kansas city,MCI,2022-06-07,39,1,0.42857142857142855,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1665.23,20,178,0.016853932584269662,9.355224719101123,4,3,4,Potential,Mid-high,Mid-low,Low,Low,Low,Low,Low,,High,Mid-high,Low,Low,Low,Riley – Potential – Aspiring globetrotter
216796,8,2023-01-13 13:22:00,2023-03-13 04:35:24.627536,1,1,1,2.0,2.0,0,1,-625.2175,1875.6525,1,0.16666666666666666,1,10.0,1.0,0.0,2410.0,0,0.1,0,2001-07-09,F,False,False,usa,cincinnati,CVG,2022-06-16,22,1,0.125,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-625.2175,137,58,0.0,-10.779612068965516,1,5,5,At Risk,Low,Mid-low,Mid-low,Low,High,High,Low,Mid-high,Mid-low,High,Low,High,High,Susan – At Risk – Seasoned bargain hunter
217114,9,2023-01-06 19:36:00,2023-06-26 16:42:46.000000,0,0,0,,,0,0,0.0,,0,0.05,0,,,0.0,,0,0.15,0,2004-05-28,O,True,True,usa,long beach,LGB,2022-06-17,19,1,0.0,,,,,,,,,0.0,32,170,0.0,0.0,3,5,5,Loyal,Low,,,,,,,Low,Mid-high,,,,,Taylor – Loyal – Practical frequent flyer
217136,8,2023-01-12 16:14:00,2023-05-14 16:53:18.000000,2,0,1,1.0,0.0,1,0,539.57,539.57,0,0.175,2,2.0,1.0,659.0,329.5,0,,0,1985-04-18,F,False,True,usa,little rock,LIT,2022-06-17,38,1,0.25,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1198.5700000000002,75,122,0.01639344262295082,9.824344262295083,1,3,4,At Risk,Mid-low,Low,Mid-low,Low,Low,Low,Low,Mid-high,,Low,Low,Low,Low,Leo – At Risk – Budget short-trip traveler
220725,9,2023-01-07 19:45:00,2023-06-07 21:30:06.000000,4,1,4,1.0,0.25,4,0,1533.42,494.5425,0,0.15,3,3.6666666666666665,1.0,962.0,467.3333333333333,0,0.05,0,1983-07-28,F,False,False,usa,stockton,SCK,2022-06-20,40,1,0.4444444444444444,0.25,1.0,1.0,0.0,0.0,0.75,0.0,0.0,2495.42,50,151,0.019867549668874173,16.525960264900664,2,2,3,Lost,High,Mid-low,Low,Low,Low,Low,Low,Mid-high,Low,Mid-high,Low,Low,Low,Emma – Lost – Former premium planner
224996,7,2023-02-14 09:40:00,2023-05-01 19:11:53.000000,1,0,1,1.0,0.0,1,0,728.23,728.23,0,,0,,,0.0,,0,0.1,0,1981-03-07,F,False,True,canada,halifax,YHZ,2022-06-23,42,1,0.14285714285714285,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,728.23,88,76,0.013157894736842105,9.581973684210526,1,4,4,At Risk,Low,Mid-low,Low,Low,Low,Low,,,Mid-low,,,Low,Low,Susan – At Risk – Seasoned bargain hunter
226367,8,2023-01-07 21:27:00,2023-06-26 22:58:04.000000,3,0,3,1.3333333333333333,0.6666666666666666,3,0,883.601,294.53366666666665,1,0.05,3,1.6666666666666667,1.3333333333333333,1864.0,418.0,0,,0,1980-10-21,F,False,False,usa,washington,IAD,2022-06-25,42,1,0.375,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,2747.601,31,170,0.01764705882352941,16.162358823529413,3,3,3,Potential,Mid-high,Mid-low,Mid-low,Low,Low,High,Low,Low,,Low,Mid-high,Mid-high,Mid-high,Riley – Potential – Aspiring globetrotter
228195,9,2023-01-28 04:02:00,2023-06-01 17:46:31.000000,0,0,0,,,0,0,0.0,,0,0.2,0,,,0.0,,0,,0,1997-02-26,F,False,True,usa,los angeles,LAX,2022-06-26,26,1,0.0,,,,,,,,,0.0,57,124,0.0,0.0,2,5,5,At Risk,Low,,,,,,,High,,,,,,Susan – At Risk – Seasoned bargain hunter
228872,8,2023-01-09 23:03:00,2023-07-16 06:07:25.000000,2,0,1,1.0,1.0,1,0,509.21,509.21,0,0.35,2,6.5,1.0,1288.0,644.0,0,,0,1989-03-22,M,False,False,usa,san antonio,RND,2022-06-27,34,1,0.25,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1797.21,12,187,0.0106951871657754,9.610748663101605,5,4,4,Champions,Mid-low,Low,Mid-low,Low,Low,Low,Low,High,,High,Low,Low,Mid-high,Alex – Champion – Young global explorer
229009,8,2023-02-15 19:09:00,2023-07-08 16:42:55.283434,3,1,3,1.0,0.3333333333333333,2,1,1061.63,928.42,0,,2,1.5,1.0,474.0,237.0,0,,0,2006-08-27,F,False,False,usa,stockton,SCK,2022-06-27,16,1,0.375,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1535.63,20,142,0.014084507042253521,10.814295774647888,4,3,4,Potential,Mid-high,Mid-low,Low,Low,High,Low,Low,,,Low,Low,Low,Mid-low,Riley – Potential – Aspiring globetrotter
229108,8,2023-01-04 20:44:00,2023-05-08 18:12:58.000000,1,1,1,1.0,0.0,1,0,0.0,438.61,0,0.2,0,,,0.0,,0,0.1,0,1998-05-28,F,False,False,usa,burlington,BTV,2022-06-27,25,1,0.125,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,81,123,0.0,0.0,1,5,5,At Risk,Low,Mid-low,Low,Low,Low,Low,,High,Mid-low,,,Low,Low,Susan – At Risk – Seasoned bargain hunter
229330,7,2023-02-17 15:42:00,2023-07-17 18:36:19.000000,3,0,3,1.6666666666666667,0.0,3,0,1042.6,347.53333333333336,0,,3,2.0,1.6666666666666667,3193.0,570.3333333333334,0,0.1,0,1976-11-08,F,True,False,usa,colorado springs,COS,2022-06-27,46,1,0.42857142857142855,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4235.6,11,150,0.02,28.237333333333336,5,2,2,Potential,Mid-high,Mid-low,Mid-low,Low,Low,Low,Low,,Mid-low,Low,High,High,Low,Riley – Potential – Aspiring globetrotter
232647,8,2023-01-24 06:28:00,2023-06-02 16:53:16.000000,2,0,1,1.0,1.0,1,0,237.1,237.1,0,0.1,1,11.0,1.0,2343.0,2343.0,0,,0,2006-04-11,F,False,False,usa,birmingham,BHM,2022-06-30,17,1,0.25,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,2580.1,56,129,0.015503875968992248,20.00077519379845,2,3,2,Lost,Mid-low,Low,Low,Low,Low,Low,Low,Low,,High,Low,Low,Mid-high,Emma – Lost – Former premium planner
249521,8,2023-02-06 12:58:00,2023-07-04 19:03:15.000000,2,0,1,1.0,1.0,1,0,642.02,642.02,0,0.2,2,1.5,1.0,369.4,184.7,1,0.13333333333333333,0,1964-07-23,F,True,True,canada,ottawa,YOW,2022-07-15,59,1,0.25,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,1011.42,24,148,0.013513513513513514,6.8339189189189185,4,4,4,Loyal,Mid-low,Low,Mid-low,Low,Low,Low,High,High,Mid-high,Low,Low,Low,Mid-high,Taylor – Loyal – Practical frequent flyer
252835,8,2023-01-07 15:44:00,2023-07-10 06:27:15.000000,5,0,5,1.0,0.6,5,0,1615.635,323.127,1,0.3,4,2.75,1.0,1460.0,365.0,0,0.05,0,1986-01-20,F,False,True,usa,chicago,ORD,2022-07-18,37,1,0.625,0.0,1.0,1.0,0.0,0.2,0.8,0.0,0.0,3075.635,18,183,0.0273224043715847,16.80674863387978,4,1,3,Potential,High,Mid-low,Low,Low,Low,Mid-high,Low,High,Low,Mid-low,Low,Low,Mid-high,Riley – Potential – Aspiring globetrotter
258451,8,2023-02-03 21:16:00,2023-06-17 15:53:04.000000,1,1,0,,,0,0,0.0,,0,0.15,1,13.0,1.0,0.0,2314.0,0,,0,2000-12-10,F,False,False,usa,miami,OPF,2022-07-22,22,1,0.125,1.0,0.0,,,,1.0,0.0,0.0,0.0,41,133,0.0,0.0,3,5,5,Loyal,Low,Low,Mid-low,,,,Low,Mid-high,,High,Low,,,Taylor – Loyal – Practical frequent flyer
264470,8,2023-01-04 22:50:00,2023-06-04 17:50:06.000000,2,0,2,1.0,0.5,2,0,835.2175,417.60875,1,0.05,2,4.5,1.0,2127.0,1063.5,0,0.1,0,1978-11-05,F,False,True,usa,bakersfield,BFL,2022-07-27,44,1,0.25,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,2962.2174999999997,54,150,0.013333333333333334,19.748116666666665,2,4,2,At Risk,Mid-low,Mid-low,Mid-low,Low,Low,High,Low,Low,Mid-low,Mid-high,Low,Low,Mid-low,Susan – At Risk – Seasoned bargain hunter
276512,8,2023-01-14 16:25:00,2023-05-27 01:02:06.000000,1,0,1,1.0,1.0,1,0,395.69,395.69,0,0.125,1,1.0,1.0,100.0,100.0,0,0.125,0,1982-08-27,F,True,True,usa,austin,AUS,2022-08-06,40,0,0.125,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,495.69,62,132,0.007575757575757576,3.755227272727273,2,4,5,At Risk,Low,Mid-low,Mid-low,Low,Low,Low,Low,Mid-low,Mid-high,Low,Low,Low,Mid-high,Leo – At Risk – Budget short-trip traveler
281952,8,2023-01-28 19:32:00,2023-07-08 20:56:11.000000,2,0,2,1.0,1.5,2,0,684.72,342.36,0,,2,1.0,1.0,236.3,118.15,1,0.15,0,1987-01-23,F,False,False,usa,louisville,LOU,2022-08-11,36,0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,921.02,19,161,0.012422360248447204,5.7206211180124225,4,4,4,Loyal,Mid-low,Mid-low,Mid-low,Low,Low,Low,High,,Mid-high,Low,Low,Low,High,Taylor – Loyal – Practical frequent flyer
283325,8,2023-01-28 12:04:00,2023-06-22 21:05:53.000000,2,0,1,1.0,0.0,1,0,407.943,407.943,1,0.075,2,3.0,1.5,2884.0,1248.0,0,0.1,0,1973-05-15,F,True,False,usa,dallas,DAL,2022-08-12,50,0,0.25,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,3291.943,35,145,0.013793103448275862,22.703055172413794,3,3,2,Potential,Mid-low,Low,Mid-low,Low,Low,High,Low,Low,Mid-low,Mid-low,High,Low,Low,Riley – Potential – Aspiring globetrotter
290123,7,2023-02-09 10:51:00,2023-06-24 13:23:23.000000,5,0,5,1.6,1.2,5,0,3921.57,784.314,0,,4,3.25,1.75,3583.0,505.75,0,,0,1983-04-08,F,True,False,usa,houston,HOU,2022-08-18,40,0,0.7142857142857143,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.0,7504.57,34,135,0.037037037037037035,55.58940740740741,3,1,1,Potential,High,Mid-low,Low,Low,Low,Low,Low,,,Mid-low,High,High,High,Riley – Potential – Aspiring globetrotter
297546,8,2023-01-16 07:47:00,2023-07-07 21:53:58.000000,5,0,4,1.5,0.75,4,0,1660.72,415.18,0,,5,5.2,1.4,3542.0,567.8,1,0.05,0,1972-12-05,F,True,False,usa,new york,JFK,2022-08-24,50,0,0.625,0.0,0.8,1.0,0.0,0.0,1.0,0.2,0.0,5202.72,20,172,0.029069767441860465,30.248372093023256,4,1,1,Potential,High,Mid-low,Mid-low,Low,Low,Low,Mid-high,,Low,High,High,High,Mid-high,Riley – Potential – Aspiring globetrotter
